000000xxxxxxxxxxxxxxx01000000000 attn
000100AAAAABBBBBCCCCC00000000000 vaddubm VREG,VREG,VREG
000100AAAAABBBBB0000000000000001 vmul10cuq VREG,VREG
000100AAAAABBBBBCCCCC00000000010 vmaxub VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000000100 vrlb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000000110 vcmpequb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000000111 vcmpneb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000001000 vmuloub VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000001010 vaddfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC00000001100 vmrghb VREG,VREG,VREG
000100AAAAABBBBBCCCCCDxxE000110x psq_lx FREG,GPR,GPR,NUM,NUM
000100AAAAABBBBBCCCCC00000001110 vpkuhum VREG,VREG,VREG
000100AAAAABBBBBCCCCCxEEE000111x psq_stx FREG,GPR,GPR,NUM,NUM
000100AAAAABBBBBCCCCC00000010000 mulhhwu GPR,GPR,GPR
000100AAAAABBBBBCCCCC00000010001 mulhhwu. GPR,GPR,GPR
000100AAAAABBBBBDDDDDCCCCC010100 ps_sum0 FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC010101 ps_sum0. FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC010110 ps_sum1 FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC010111 ps_sum1. FREG,FREG,FREG,FREG
000100AAAAABBBBB00000CCCCC011000 ps_muls0 FREG,FREG,FREG
000100AAAAABBBBB00000CCCCC011001 ps_muls0. FREG,FREG,FREG
000100AAAAABBBBB00000CCCCC011010 ps_muls1 FREG,FREG,FREG
000100AAAAABBBBB00000CCCCC011011 ps_muls1. FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC011100 ps_madds0 FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC011101 ps_madds0. FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC011110 ps_madds1 FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC011111 ps_madds1. FREG,FREG,FREG,FREG
000100AAAAABBBBBCCCCCDDDDD100000 vmhaddshs VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100001 vmhraddshs VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100010 vmladduhm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100011 vmsumudm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100100 vmsumubm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100101 vmsummbm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100110 vmsumuhm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD100111 vmsumuhs VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD101000 vmsumshm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD101001 vmsumshs VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD101010 vsel VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD101011 vperm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCC0DDDD101100 vsldoi VREG,VREG,VREG,NUM
000100AAAAABBBBBCCCCCDDDDD101101 vpermxor VREG,VREG,VREG,VREG
000100AAAAABBBBBDDDDDCCCCC101110 vmaddfp VREG,VREG,VREG,VREG
000100AAAAABBBBBDDDDDCCCCC101111 vnmsubfp VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD110000 maddhd GPR,GPR,GPR,GPR
000100AAAAABBBBBCCCCCDDDDD110001 maddhdu GPR,GPR,GPR,GPR
000100AAAAABBBBB00000CCCCC110010 ps_mul FREG,FREG,FREG
000100AAAAABBBBBCCCCCDDDDD110011 maddld GPR,GPR,GPR,GPR
000100AAAAA00000BBBBB00000110100 ps_rsqrte FREG,FREG
000100AAAAA00000BBBBB00000110101 ps_rsqrte. FREG,FREG
000100AAAAABBBBBDDDDDCCCCC111000 ps_msub FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC111001 ps_msub. FREG,FREG,FREG,FREG
000100AAAAABBBBBDDDDDCCCCC111010 ps_madd FREG,FREG,FREG,FREG
000100AAAAABBBBBCCCCCDDDDD111011 vpermr VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD111100 vaddeuqm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD111101 vaddecuq VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD111110 vsubeuqm VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCCDDDDD111111 vsubecuq VREG,VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000000 vadduhm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000001 vmul10ecuq VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000010 vmaxuh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000100 vrlh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000110 vcmpequh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001000111 vcmpneh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001001000 vmulouh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00001001010 vsubfp VREG,VREG,VREG
