000000xxxxxxxxxxxxxxx01000000000 attn
000100xxxxxxxxxxxxxxx00000000000 vaddubm VREG,VREG,VREG
000100xxxxxxxxxx0000000000000001 vmul10cuq VREG,VREG
000100xxxxxxxxxxxxxxx00000000010 vmaxub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000000100 vrlb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000000110 vcmpequb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000000111 vcmpneb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000001000 vmuloub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000001010 vaddfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00000001100 vmrghb VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxx000110x psq_lx FREG,GPR,GPR,NUM,NUM
000100xxxxxxxxxxxxxxx00000001110 vpkuhum VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxx000111x psq_stx FREG,GPR,GPR,NUM,NUM
000100xxxxxxxxxxxxxxx00000010000 mulhhwu GPR,GPR,GPR
000100xxxxxxxxxxxxxxx00000010001 mulhhwu. GPR,GPR,GPR
000100xxxxxxxxxxxxxxxxxxxx010100 ps_sum0 FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx010101 ps_sum0. FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx010110 ps_sum1 FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx010111 ps_sum1. FREG,FREG,FREG,FREG
000100xxxxxxxxxx00000xxxxx011000 ps_muls0 FREG,FREG,FREG
000100xxxxxxxxxx00000xxxxx011001 ps_muls0. FREG,FREG,FREG
000100xxxxxxxxxx00000xxxxx011010 ps_muls1 FREG,FREG,FREG
000100xxxxxxxxxx00000xxxxx011011 ps_muls1. FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx011100 ps_madds0 FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx011101 ps_madds0. FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx011110 ps_madds1 FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx011111 ps_madds1. FREG,FREG,FREG,FREG
000100xxxxxxxxxxxxxxxxxxxx100000 vmhaddshs VREG,VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxxx100001 vmhraddshs VREG,VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxxx100010 vmladduhm VREG,VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxxx100011 vmsumudm VREG,VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxxx100100 vmsumubm VREG,VREG,VREG,VREG
000100xxxxxxxxxxxxxxxxxxxx100101 vmsummbm VREG,VREG,VREG,VREG
